#,Timestamp,Temp_C,Voltage_V,Current_A,Power_W,Relay,Step,State,PID_Output
1,2026-06-02 20:16:21,23.2125,0.00,0.000,0.000,OFF,--,IDLE,--
2,2026-06-02 20:16:22,23.2125,0.00,0.000,0.000,OFF,--,IDLE,--
3,2026-06-02 20:16:23,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
4,2026-06-02 20:16:24,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
5,2026-06-02 20:16:25,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
6,2026-06-02 20:16:26,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
7,2026-06-02 20:16:27,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
8,2026-06-02 20:16:28,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
9,2026-06-02 20:16:29,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
10,2026-06-02 20:16:30,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
11,2026-06-02 20:16:31,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
12,2026-06-02 20:16:32,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
13,2026-06-02 20:16:33,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
14,2026-06-02 20:16:34,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
15,2026-06-02 20:16:35,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
16,2026-06-02 20:16:36,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
17,2026-06-02 20:16:37,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
18,2026-06-02 20:16:38,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
19,2026-06-02 20:16:39,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
20,2026-06-02 20:16:40,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
21,2026-06-02 20:16:41,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
22,2026-06-02 20:16:42,23.2375,0.00,0.000,0.000,OFF,--,IDLE,--
23,2026-06-02 20:16:43,23.2375,0.00,0.000,0.000,OFF,--,IDLE,--
24,2026-06-02 20:16:44,23.2375,0.00,0.000,0.000,OFF,--,IDLE,--
25,2026-06-02 20:16:45,23.2375,0.00,0.000,0.000,OFF,--,IDLE,--
26,2026-06-02 20:16:46,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
27,2026-06-02 20:16:47,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
28,2026-06-02 20:16:48,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
29,2026-06-02 20:16:49,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
30,2026-06-02 20:16:50,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
31,2026-06-02 20:16:51,23.2250,0.00,0.000,0.000,OFF,--,IDLE,--
32,2026-06-02 20:16:52,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
33,2026-06-02 20:16:53,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
34,2026-06-02 20:16:54,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
35,2026-06-02 20:16:55,23.2000,0.00,0.000,0.000,OFF,--,IDLE,--
36,2026-06-02 20:16:56,23.2000,0.00,0.000,0.000,OFF,--,IDLE,--
37,2026-06-02 20:16:57,23.2000,0.00,0.000,0.000,OFF,--,IDLE,--
38,2026-06-02 20:16:58,23.2500,0.00,0.000,0.000,OFF,--,IDLE,--
